Date,Change Request Title,Description,Type,Priority,Hours Spent,Status
2026-03-10,Staff Directory Data Update,Removed staff member from ENTC department listing and refined staff record management system,Data Update,High,1.5,Completed
2026-02-20,Academic Calendar and Governance Updates,Added vacation timetables for degree programs to examination page; removed duplicate committee references; clarified timetable navigation labels,Content Update,High,2.5,Completed
2026-02-13,Brand Media Optimization - First Year Engineering,Converted all First Year Engineering program images to WebP format for improved website performance and updated all image references,Performance,Medium,2,Completed
2026-02-13,Faculty Database Integration,Added staff member profile images to faculty directory system for improved staff visibility,Content Update,Medium,1,Completed
2026-02-03,ENTC Program Page Restructuring,Migrated FAQ section content to main program page; improved staff details alignment; added laboratory images and program newsletter,Enhancement,Medium,3.5,Completed
2026-02-03,ENTC Department Content Enhancement,Updated staff details layout for readability; added laboratory facility images; integrated program newsletter into department page,Content Update,Medium,2,Completed
2026-01-23,Leadership and Faculty Showcase,Redesigned leadership section layout on About Us page; added faculty member portraits; enhanced faculty gallery presentation,UI Change,Medium,3,Completed
2026-01-23,Hero Banner Image Update,Updated feature banner image on home page to reflect latest institutional branding,Content Update,Low,0.5,Completed
2026-01-20,Marketing Banner Enhancement,Updated MHCET entrance exam promotional banner in hero section,Content Update,Low,0.5,Completed
2026-01-19,Hero Section Refinement,Improved home page hero slider transitions and visual presentation,UI Change,Low,1.5,Completed
2026-01-12,Navigation and UI Typography,Optimized navbar font sizes for responsive design; updated placement banner; refined research lab section typography,UI Change,Medium,1.5,Completed
2026-01-12,Navigation Menu Label Update,Renamed fee structure menu item from generic name to FRA-specific terminology for clarity,UI Change,Low,0.5,Completed
2026-01-12,Regulatory and Academic Content,Added AICTE approval certification section; updated anti-ragging committee documentation; integrated examination vacation timetable,Content Update,High,2.5,Completed
2025-12-27,MBA Program Syllabus Content Management,Consolidated and simplified MBA syllabus presentation with NEP and traditional structure options; updated PDF file paths and corrected document references,Content Update,High,3,Completed
2025-12-27,Fee Structure Document Updates,Reorganized fee proposal display priority; updated FRA submission documents; fixed PDF paths and corrected file naming issues,Content Update,Medium,2.5,Completed
2025-12-24,Examination Schedule Publication,Added and organized vacation timetables for all degree programs; updated examination page hierarchy; added faculty and student guide documents,Content Update,High,4,Completed
2025-12-24,Document Management System Setup,Configured Git LFS for PDF and media file version control,Configuration,Medium,2,Completed
2025-12-18,Library Page Updates,Updated library and resource center information,Content Update,Low,1,Completed
2025-12-11,Website Performance Optimization,Converted facility and sports images to AVIF format; optimized canteen photos; added loading UI skeletons; removed redundant image files,Performance,High,4,Completed
2025-12-10,Program Page URL Structure Fix,Fixed program page routing; corrected image path references from /Programs/ to /programs/; removed broken code from hero slider,Bug Fix,High,2.5,Completed
2025-12-10,Contact Page UI Redesign,Completely redesigned contact page layout; added responsive scroll-to-top functionality; integrated mobile social media bar,UI Change,Medium,3,Completed
2025-12-10,Admissions Contact Information,Replaced generic office listing with dedicated admissions contact cards; updated phone numbers and email addresses; improved form layout,Content Update,Medium,2,Completed
2025-12-09,Mobile Responsiveness Campaign - Phase 1,Improved mobile layouts for college life section; event displays; testimonials; call-to-action sections; ensured contact button navigation consistency,UI Change,High,4,Completed
2025-12-09,Code Quality - FAQMCA Component,Fixed component rendering errors; removed duplicate element identifiers,Bug Fix,Low,1,Completed
